"id";"sessionId";"sender";"content";"timestamp";"isValid";"feedback";"score";"transcription"
d11a8a1f-2896-4bc0-8543-5f7a5f8b6e97;"10c942dc-f774-416e-ba9d-3e4499c48876";ia;(Curioso) Esse tipo de abordagem ajuda pessoas como eu?;2025-06-29 22:27:50.987;;;0;
"332e2d97-3214-4180-8789-1128eeb8cc37";"10c942dc-f774-416e-ba9d-3e4499c48876";therapist;[Resposta em áudio];2025-06-29 22:29:00.915;false;A resposta não explica a lógica de como a TCC pode ser utilizada para abordar as preocupações específicas do paciente. Embora promova esperança quanto ao uso eficaz da TCC, não estabelece expectativas claras sobre a natureza e o impacto da TCC. Considere incluir uma explicação mais detalhada sobre como a TCC pode ajudar nas preocupações do paciente.;0;Sim, essa abordagem costuma ser bastante útil para pessoas como você. É uma abordagem bem pesquisada, com muito suporte científico quanto sua eficácia para diferentes tipos de problemas e pessoas. Claro, cada pessoa é única e vivencia as coisas de maneira própria. Por isso, vamos adaptar o que fizemos para atender melhor as suas necessidades e preferências, sempre priorizando verificar o que parece estar funcionando, ou não, para você.
e1b618c2-b61f-4245-9374-67b529b30d46;"263f7ee8-ee7f-44ef-9ddc-46e6ef5c7f72";ia;(Curioso) Esse tipo de abordagem ajuda pessoas como eu?;2025-06-29 22:34:25.276;;;0;
"67bb77ae-6d62-4e15-80bb-3ed21dd86e2c";"263f7ee8-ee7f-44ef-9ddc-46e6ef5c7f72";therapist;[Resposta em áudio];2025-06-29 22:35:04.264;false;A resposta valida a experiência do paciente e promove esperança quanto ao uso eficaz da TCC. No entanto, falta uma explicação breve sobre a lógica de como a TCC funciona e não estabelece expectativas claras sobre a natureza e o impacto da TCC. Considere incluir esses elementos para uma resposta mais completa.;75;Sim, essa abordagem costuma ser bastante útil para pessoas como você. É uma abordagem bem pesquisada, com muito suporte científico quanto à sua eficácia para diferentes tipos de pessoas e problemas. Claro, cada pessoa é única e vivencia as coisas de uma maneira própria. Por isso, vamos adaptar o que fizemos para atender melhor às suas necessidades e preferências, sempre priorizando verificar o que parece estar funcionando ou não para você.
dcee43c9-ed90-4845-9bde-8f3904f73abd;"39f8730a-1d66-4982-a2ff-3d0dae08c8e5";ia;(Curioso) Como a terapia funciona?;2025-06-29 22:47:45.392;;;0;
ebc1adfe-cde6-4633-83bb-a331f40a6f80;"39f8730a-1d66-4982-a2ff-3d0dae08c8e5";therapist;[Resposta em áudio];2025-06-29 22:48:18.423;true;A resposta do terapeuta cumpre todos os critérios esperados. Valida a experiência do paciente ao reconhecer a pergunta como ótima, explica a lógica da TCC ao mencionar o foco em pensamentos e comportamentos, promove esperança ao sugerir o ensino de habilidades eficazes, e estabelece expectativas adequadas sobre a natureza da TCC. Excelente trabalho!;100;Essa é uma ótima pergunta. Na terapia cognitivo-comportamental, vamos olhar para suas cognições, ou seja, seus pensamentos, e para os seus comportamentos, para ver se consigo te ensinar algumas habilidades que ajudem a lidar com eles de forma mais eficaz em relação aos problemas que você quer trabalhar. Isso ajuda a responder a sua dúvida?
"52a5b0d0-a1c8-4dd7-b6bf-78ccfc06b70e";"0453eac8-f0c0-4970-bd3e-3f62f7358a72";ia;(Curioso) Esse tipo de abordagem ajuda pessoas como eu?;2025-06-29 22:51:18.496;;;0;
"2defdea9-53ae-4875-8ab1-4461d9fe34cd";"0453eac8-f0c0-4970-bd3e-3f62f7358a72";therapist;[Resposta em áudio];2025-06-29 22:51:58.491;true;A resposta do terapeuta atende a todos os critérios esperados. Valida a experiência do paciente, explica brevemente a eficácia da TCC, promove esperança e estabelece expectativas adequadas sobre a natureza e o impacto da TCC. Excelente trabalho!;100;Sim, essa abordagem costuma ser bastante útil para pessoas como você. É uma abordagem bem pesquisada, com muito suporte científico quanto a sua eficácia para diferentes tipos de pessoas e problemas. Claro, cada pessoa é única e vivencia as coisas de uma maneira própria, por isso, nós vamos adaptar o que fizermos para atender melhor as suas necessidades e preferências, sempre priorizando verificar o que parece estar funcionando ou não para você.
e2ca4ab0-d868-41c7-95be-7bc76c675938;"6d0bbff5-529e-464d-911a-b1f420e51fe9";ia;(Nervoso) Nunca fiz terapia antes. Sobre o que a gente conversa aqui?;2025-06-29 22:54:50.103;;;0;
"8469fe0a-b644-4d1a-938e-43487455b2d4";"6d0bbff5-529e-464d-911a-b1f420e51fe9";therapist;[Resposta em áudio];2025-06-29 22:55:31.101;true;A resposta do terapeuta atende a todos os critérios esperados. Ela valida a experiência do paciente ao focar no que é mais importante para ele, explica a lógica da TCC ao mencionar o ensino de habilidades para modificar pensamentos e comportamentos, promove esperança ao falar sobre o acompanhamento do progresso e ajustamento do plano, e estabelece expectativas adequadas sobre a natureza e o impacto da TCC.;100;Provavelmente vamos falar sobre várias coisas, no fim das contas queremos focar no que for mais importante para você, vamos definir metas para o tratamento, eu vou te ensinar habilidade para perceber e modificar pensamentos e comportamentos, você vai praticar isso em casa, no início de cada sessão vamos montar uma pauta com os temas mais relevantes para você naquele momento, e vamos acompanhar o progresso ao longo do tempo, ajustando o plano se nós estivermos avançando como gostaríamos.
